дата;температура;осадки;влажность;испаряемость;ГТК
2007-07-25;20.2;0.4;83.0;2.017;0.198
2007-07-26;17.825;3.0;77.5;2.396;1.683
2007-07-27;18.95;;72.5;3.084;
2007-07-28;19.425;;76.25;2.722;
2007-07-29;19.225;1.0;79.0;2.385;0.52
2007-07-30;19.775;;72.75;3.172;
2007-07-31;20.4;;68.75;3.74;
2007-08-01;22.85;;63.5;4.853;
2007-08-02;21.425;3.0;75.5;3.066;1.4
2007-08-03;21.35;;77.25;2.838;
2007-08-04;20.675;;69.25;3.725;
2007-08-05;17.375;;75.75;2.528;
2007-08-06;17.4;0.3;72.0;2.923;0.172
2007-08-07;17.1;4.0;78.0;2.264;2.339
2007-08-08;18.7;;73.8;2.905;
2007-08-09;20.675;11.0;79.75;2.453;5.32
2007-08-10;16.3;0.3;73.0;2.674;0.184
2007-08-11;14.15;;75.25;2.203;
2007-08-12;14.025;0.7;74.0;2.299;0.499
2007-08-13;13.075;5.6;76.0;2.02;4.283
2007-08-14;11.05;;76.75;1.754;
2007-08-15;11.175;3.0;79.75;1.539;2.685
2007-08-16;10.85;2.9;86.5;1.007;2.673
2007-08-17;12.1;;74.5;2.038;
2007-08-18;13.275;0.0;78.5;1.829;0.0
2007-08-19;16.6;;67.25;3.291;
2007-08-20;16.475;0.1;66.75;3.321;0.061
2007-08-21;15.725;;74.5;2.456;
2007-08-22;16.625;4.0;83.75;1.635;2.406
2007-08-23;15.2;;68.0;3.003;
2007-08-24;17.525;;65.75;3.596;
2007-08-25;11.2;4.0;69.25;2.34;3.571
2007-08-26;12.475;;65.75;2.793;
2007-08-27;14.375;2.4;78.5;1.935;1.67
2007-08-28;18.125;;70.25;3.213;
2007-08-29;21.05;;70.5;3.632;
2007-08-30;19.7;;81.333;2.166;
2007-08-31;20.725;;62.5;4.552;
2007-09-01;21.525;;67.25;4.253;
2007-09-02;22.825;;66.5;4.597;
2007-09-03;22.9;;68.25;4.371;
2007-09-04;19.275;;74.25;3.029;
2007-09-05;12.825;5.0;79.25;1.781;3.899
2007-09-06;15.125;;77.5;2.174;
2007-09-07;16.05;;73.0;2.73;
2007-09-08;10.375;4.0;79.75;1.52;3.855
2007-09-09;11.6;;69.0;2.492;
2007-09-10;17.975;0.0;51.5;5.374;0.0
2007-09-11;19.525;;58.0;4.996;
2007-09-12;21.45;;48.0;6.732;
2007-09-13;17.05;;62.75;3.952;
2007-09-14;9.725;2.0;86.0;1.013;
2007-09-15;8.2;;74.25;1.703;
2007-09-16;10.1;;70.25;2.199;
2007-09-17;11.35;;64.25;2.834;
2007-09-18;12.275;;70.0;2.501;
2007-09-19;12.575;;78.0;1.864;
2007-09-20;8.425;2.0;86.5;0.905;
2007-09-21;6.5;6.4;95.0;0.298;
2007-09-22;5.15;2.6;94.5;0.3;
2007-09-23;5.725;0.1;85.25;0.835;
2007-09-24;6.5;;71.5;1.697;
2007-09-25;6.2;;75.25;1.446;
2007-09-26;9.1;3.7;87.0;0.907;
2007-09-27;7.4;0.0;72.75;1.716;
2007-09-28;9.025;;73.0;1.875;
2007-09-29;12.15;;66.75;2.753;
2007-09-30;11.575;4.0;78.75;1.706;3.456
2007-10-01;9.675;9.0;94.5;0.384;
2007-10-02;9.075;2.0;92.75;0.489;
2007-10-03;0.3;6.5;80.25;0.734;
2007-10-04;1.55;0.4;81.75;0.747;
2007-10-05;4.6;0.0;87.0;0.661;
2007-10-06;7.95;1.5;84.0;1.009;
2007-10-07;7.65;0.0;81.75;1.13;
2007-10-08;4.675;1.5;86.0;0.716;
2007-10-09;0.85;;52.5;1.843;
2007-10-10;-0.3;;58.75;1.461;
2007-10-11;1.175;;59.25;1.621;
2007-10-12;3.925;;66.75;1.615;
2007-10-13;8.3;;55.0;2.897;
2007-10-14;7.5;0.0;71.0;1.779;
2007-10-15;4.825;0.9;77.25;1.175;
2007-10-16;0.35;;86.25;0.513;
2007-10-17;4.7;;66.25;1.729;
2007-10-18;9.225;;53.0;3.197;
2007-10-19;6.975;;68.25;1.885;
2007-10-20;3.275;;72.5;1.277;
2007-10-21;4.425;0.4;84.75;0.767;
2007-10-22;0.475;0.0;67.75;1.215;
2007-10-23;-2.725;0.3;74.0;0.749;
2007-10-24;-2.95;2.6;91.5;0.24;
2007-10-25;-1.85;0.3;74.75;0.786;
2007-10-26;-1.6;;79.5;0.652;
2007-10-27;-0.225;8.0;95.5;0.16;
2007-10-28;-1.25;3.3;70.25;0.974;
2007-10-29;-2.2;7.2;85.25;0.445;
2007-10-30;0.875;1.0;90.0;0.389;
2007-10-31;1.45;;86.0;0.569;
2007-11-01;0.575;0.3;94.0;0.235;
2007-11-02;-0.625;0.4;93.25;0.241;
2007-11-03;-1.275;;91.75;0.279;
2007-11-04;-0.675;;85.0;0.533;
2007-11-05;3.275;;61.25;1.859;
2007-11-06;3.05;0.1;67.0;1.558;
2007-11-07;1.925;;74.25;1.12;
2007-11-08;2.175;7.6;89.0;0.487;
2007-11-09;-5.875;17.0;87.25;0.28;
2007-11-10;-10.5;1.0;74.75;0.319;
2007-11-11;-11.3;0.5;78.75;0.239;
2007-11-12;-11.55;;76.5;0.255;
2007-11-13;-10.425;;73.25;0.341;
2007-11-14;-11.875;;82.25;0.183;
2007-11-15;-8.425;2.0;83.75;0.268;
2007-11-16;-7.45;0.4;81.5;0.342;
2007-11-17;-3.5;1.4;88.75;0.312;
2007-11-18;-2.85;0.4;86.25;0.405;
2007-11-19;0.9;;87.5;0.503;
2007-11-20;0.0;0.3;72.5;1.031;
2007-11-21;-6.45;0.3;65.5;0.712;
2007-11-22;-3.7;2.0;69.0;0.844;
2007-11-23;-6.95;7.0;89.0;0.215;
2007-11-24;-12.65;3.0;80.0;0.183;
2007-11-25;-6.275;;71.25;0.605;
2007-11-26;-9.925;;80.0;0.273;
2007-11-27;-8.525;0.0;85.5;0.236;
2007-11-28;-10.2;0.0;88.0;0.158;
2007-11-29;-10.35;;84.5;0.2;
2007-11-30;-6.575;0.0;91.5;0.173;
2007-12-01;-4.575;0.3;86.5;0.327;
2007-12-02;-7.475;0.4;88.5;0.205;
2007-12-03;-9.225;0.0;89.5;0.152;
2007-12-04;-5.45;0.8;87.25;0.283;
2007-12-05;-5.95;0.0;88.5;0.242;
2007-12-06;-7.9;0.8;93.25;0.115;
2007-12-07;-10.675;0.2;93.0;0.083;
2007-12-08;-12.05;0.7;93.75;0.061;
2007-12-09;-12.5;0.4;90.0;0.091;
2007-12-10;-10.3;1.0;89.5;0.132;
2007-12-11;-13.425;0.3;87.5;0.097;
2007-12-12;-13.3;0.6;85.0;0.119;
2007-12-13;-9.975;1.5;89.25;0.141;
2007-12-14;-9.125;4.0;90.0;0.146;
2007-12-15;-13.525;0.5;91.25;0.067;
2007-12-16;-9.225;2.2;83.5;0.238;
2007-12-17;-11.55;2.0;80.5;0.205;
2007-12-18;-13.55;2.3;85.0;0.114;
2007-12-19;-10.125;0.3;81.25;0.241;
2007-12-20;-6.275;1.0;77.75;0.453;
2007-12-21;-7.725;2.0;88.5;0.199;
2007-12-22;-4.375;1.3;88.5;0.284;
2007-12-23;-4.85;0.6;78.75;0.501;
2007-12-24;-3.925;3.0;85.25;0.38;
2007-12-25;-14.475;3.0;72.75;0.175;
2007-12-26;-21.575;;77.5;0.015;
2007-12-27;-19.05;5.0;80.0;0.041;
2007-12-28;-11.333;0.9;85.0;0.163;
2007-12-29;-9.55;2.2;85.0;0.208;
2007-12-30;-14.4;;82.5;0.114;
2007-12-31;-15.475;;75.0;0.132;
2008-01-01;-13.075;12.0;82.5;0.144;
2008-01-02;-12.5;4.7;85.0;0.136;
2008-01-03;-19.975;3.8;79.75;0.03;
2008-01-04;-32.6;;77.25;0.076;
2008-01-05;-29.425;2.0;77.75;0.025;
2008-01-06;-18.575;2.0;81.25;0.045;
2008-01-07;-17.85;0.7;82.5;0.052;
2008-01-08;-18.25;0.4;88.75;0.03;
2008-01-09;-14.775;0.6;88.75;0.068;
2008-01-10;-18.25;0.9;87.5;0.033;
2008-01-11;-25.05;;85.25;0.0;
2008-01-12;-28.075;;83.75;0.009;
2008-01-13;-28.8;;82.25;0.015;
2008-01-14;-24.567;;84.667;0.0;
2008-01-15;-18.025;0.8;85.0;0.042;
2008-01-16;-15.6;1.4;82.5;0.09;
2008-01-17;-26.2;;85.0;0.001;
2008-01-18;-25.275;0.9;81.25;0.0;
2008-01-19;-19.925;3.0;82.5;0.026;
2008-01-20;-15.0;1.4;83.75;0.094;
2008-01-21;-12.425;1.2;86.25;0.126;
2008-01-22;-14.125;0.7;85.0;0.103;
2008-01-23;-17.775;;90.0;0.03;
2008-01-24;-19.05;;88.75;0.023;
2008-01-25;-17.45;0.6;85.0;0.05;
2008-01-26;-17.625;;78.75;0.067;
2008-01-27;-18.675;;87.5;0.029;
2008-01-28;-22.475;;82.5;0.006;
2008-01-29;-22.55;;83.75;0.006;
2008-01-30;-20.975;;88.75;0.011;
2008-01-31;-17.4;;85.0;0.05;
2008-02-01;-15.675;0.9;80.0;0.108;
2008-02-02;-18.175;;87.5;0.036;
2008-02-03;-15.2;0.8;82.5;0.104;
2008-02-04;-17.7;;90.0;0.033;
2008-02-05;-15.725;;81.25;0.1;
2008-02-06;-16.325;0.4;83.75;0.076;
2008-02-07;-11.9;1.3;87.5;0.133;
2008-02-08;-13.7;0.6;88.75;0.089;
2008-02-09;-15.525;0.7;83.75;0.091;
2008-02-10;-16.5;0.0;86.25;0.062;
2008-02-11;-16.0;0.9;78.75;0.107;
2008-02-12;-14.025;8.0;85.0;0.112;
2008-02-13;-13.733;1.4;81.667;0.144;
2008-02-14;-16.975;;81.25;0.075;
2008-02-15;-15.275;;73.75;0.154;
2008-02-16;-14.8;0.7;78.75;0.137;
2008-02-17;-12.925;1.6;85.0;0.136;
2008-02-18;-9.925;3.0;78.25;0.307;
2008-02-19;-15.275;;77.5;0.132;
2008-02-20;-16.25;;75.0;0.119;
2008-02-21;-10.3;0.6;65.0;0.469;
2008-02-22;-4.025;0.5;75.0;0.683;
2008-02-23;-8.175;1.3;77.75;0.391;
2008-02-24;-9.7;;71.667;0.412;
2008-02-25;-4.7;;63.0;0.946;
2008-02-26;-5.467;;73.667;0.624;
2008-02-27;-1.8;1.4;87.5;0.418;
2008-02-28;-0.5;2.0;81.0;0.708;
2008-02-29;-5.0;5.4;85.25;0.366;
2008-03-01;-0.6;2.0;90.5;0.328;
2008-03-02;-2.525;0.3;73.25;0.785;
2008-03-03;-4.125;;84.75;0.386;
2008-03-04;-6.725;;77.75;0.431;
2008-03-05;-7.375;;71.75;0.51;
2008-03-06;-0.725;;75.75;0.83;
2008-03-07;-0.6;0.0;77.0;0.795;
2008-03-08;-2.15;;74.5;0.773;
2008-03-09;0.4;2.5;84.0;0.599;
2008-03-10;-2.175;2.8;74.75;0.764;
2008-03-11;-10.475;0.0;57.5;0.521;
2008-03-12;-9.025;;68.5;0.467;
2008-03-13;-5.65;2.0;72.0;0.609;
2008-03-14;-3.65;;64.5;0.94;
2008-03-15;-3.525;;89.5;0.281;
2008-03-16;-11.125;2.0;61.75;0.428;
2008-03-17;-10.95;;44.5;0.636;
2008-03-18;0.1;2.8;83.0;0.622;
2008-03-19;-2.45;5.0;80.25;0.583;
2008-03-20;-2.275;8.0;72.0;0.84;
2008-03-21;-3.125;;82.25;0.493;
2008-03-22;3.8;;76.0;1.156;
2008-03-23;4.5;;70.5;1.491;
2008-03-24;4.0;0.0;61.75;1.868;
2008-03-25;-1.45;;61.25;1.248;
2008-03-26;-1.725;;59.25;1.282;
2008-03-27;0.875;;59.75;1.565;
2008-03-28;4.575;;61.75;1.943;
2008-03-29;4.575;;50.75;2.501;
2008-03-30;3.75;;62.5;1.8;
2008-03-31;3.175;;58.5;1.913;
2008-04-01;2.967;;40.0;2.816;
2008-04-02;2.675;;58.0;1.93;
2008-04-03;3.85;;65.75;1.71;
2008-04-04;4.65;;72.0;1.477;
2008-04-05;2.175;0.8;73.25;1.185;
2008-04-06;-6.65;0.0;56.5;0.879;
2008-04-07;-5.35;;44.5;1.286;
2008-04-08;-1.1;1.0;57.0;1.474;
2008-04-09;-2.85;;49.25;1.494;
2008-04-10;-1.75;;54.75;1.468;
2008-04-11;8.15;0.3;69.75;1.995;
2008-04-12;9.375;0.0;63.5;2.588;
2008-04-13;8.325;0.0;71.75;1.882;
2008-04-14;11.8;;48.25;4.205;
2008-04-15;-4.0;0.5;57.5;1.125;
2008-04-16;-2.625;0.0;64.0;1.081;
2008-04-17;-5.5;4.0;74.5;0.582;
2008-04-18;-6.675;0.7;72.25;0.559;
2008-04-19;-3.075;0.0;69.25;0.887;
2008-04-20;5.225;;66.0;1.864;
2008-04-21;9.5;;55.75;3.16;
2008-04-22;11.85;;43.25;4.624;
2008-04-23;15.225;;35.5;6.262;
2008-04-24;17.125;0.0;44.25;5.936;0.0
2008-04-25;14.8;3.0;62.75;3.54;2.027
2008-04-26;8.45;0.6;57.75;2.836;
2008-04-27;7.875;0.0;48.0;3.372;
2008-04-28;3.525;3.7;65.25;1.697;
2008-04-29;2.1;0.8;63.5;1.608;
2008-04-30;1.4;23.0;93.333;0.279;
2008-05-01;2.1;2.0;76.75;0.991;
2008-05-02;3.75;;71.0;1.392;
2008-05-03;3.375;6.0;81.5;0.865;
2008-05-04;6.425;5.0;61.75;2.193;
2008-05-05;6.225;0.0;53.5;2.633;
2008-05-07;19.1;;28.5;8.074;
2008-05-08;16.525;;32.25;6.783;
2008-05-09;20.525;;29.75;8.454;
2008-05-10;22.225;;33.0;8.676;
2008-05-11;14.625;0.5;71.25;2.621;0.342
2008-05-12;11.525;;57.0;3.331;
2008-05-13;15.6;;41.25;5.623;
2008-05-14;19.7;;34.75;7.57;
2008-05-15;19.575;;37.75;7.182;
2008-05-16;21.375;;41.0;7.368;
2008-05-17;17.425;0.9;66.0;3.553;0.516
2008-05-18;17.125;;44.5;5.719;
2008-05-19;19.025;;40.75;6.668;
2008-05-20;11.875;2.0;71.75;2.23;1.684
2008-05-21;11.95;;50.75;3.904;
2008-05-22;10.825;;43.25;4.229;
2008-05-23;11.8;3.0;62.25;2.968;2.542
2008-05-24;6.8;;65.75;2.011;
2008-05-25;4.65;;60.75;2.004;
2008-05-26;9.125;;57.75;2.857;
2008-05-27;10.925;;49.5;3.784;
2008-05-28;14.95;2.0;50.5;4.587;1.338
2008-05-29;14.825;3.0;68.25;2.924;2.024
2008-05-30;17.175;;62.25;3.899;
2008-05-31;23.967;;59.0;5.708;
2008-06-01;23.34;7.0;69.0;4.346;2.999
2008-06-02;21.075;;48.5;6.56;
2008-06-03;20.8;0.1;50.5;6.23;0.048
2008-06-04;18.875;;52.0;5.544;
2008-06-05;19.35;1.4;67.0;3.895;0.724
2008-06-06;15.65;4.0;91.75;0.818;2.556
2008-06-07;17.5;1.0;65.75;3.712;0.571
2008-06-08;19.6;1.0;72.5;3.282;0.51
2008-06-09;18.5;;56.5;4.939;
2008-06-10;12.325;13.0;87.5;1.045;10.548
2008-06-11;12.525;;58.25;3.527;
2008-06-12;13.975;6.5;79.5;1.868;4.651
2008-06-13;13.475;1.0;75.0;2.22;0.742
2008-06-14;15.425;4.0;73.75;2.574;2.593
2008-06-15;17.0;;68.5;3.334;
2008-06-16;17.675;2.0;76.5;2.568;1.132
2008-06-17;11.9;1.0;83.5;1.348;0.84
2008-06-18;14.15;2.3;85.5;1.333;1.625
2008-06-19;17.65;;68.5;3.438;
2008-06-20;23.175;;57.5;5.918;
2008-06-21;19.95;0.3;64.0;4.364;0.15
2008-06-22;22.35;;68.5;4.237;
2008-06-23;19.675;4.0;72.25;3.323;2.033
2008-06-24;16.375;;74.5;2.619;
2008-06-25;16.925;;71.0;3.058;
2008-06-26;17.975;;61.75;4.239;
2008-06-27;21.7;0.0;56.0;5.758;0.0
2008-06-28;24.25;0.0;57.25;6.222;0.0
2008-06-29;18.125;4.0;73.0;3.013;2.207
2008-06-30;19.65;0.0;67.0;3.947;0.0
2008-07-01;20.95;;66.5;4.107;
2008-07-02;21.8;0.0;63.25;4.674;0.0
2008-07-03;24.475;;58.5;5.898;
2008-07-04;21.825;2.1;73.0;3.437;0.962
2008-07-05;16.7;2.0;70.75;2.953;1.198
2008-07-06;16.225;;67.75;3.182;
2008-07-07;16.5;4.0;72.0;2.8;2.424
2008-07-08;18.567;;52.0;5.29;
2008-07-09;18.775;;67.75;3.588;
2008-07-10;27.0;;50.0;7.85;
2008-07-11;22.967;;61.333;5.166;
2008-07-12;21.925;;61.5;4.922;
2008-07-13;21.35;;60.25;4.958;
2008-07-14;23.3;;61.75;5.181;
2008-07-15;24.5;;67.5;4.624;
2008-07-16;24.275;;53.0;6.626;
2008-07-17;23.4;;57.75;5.747;
2008-07-18;24.85;;56.75;6.241;
2008-07-19;24.55;;62.75;5.31;
2008-07-20;22.6;4.0;85.75;1.875;1.77
2008-07-21;20.25;16.0;89.0;1.308;7.901
2008-07-22;22.325;0.0;76.25;3.089;0.0
2008-07-23;17.675;;67.25;3.463;
2008-07-24;15.0;4.0;74.25;2.392;2.667
2008-07-25;17.4;0.8;70.25;3.105;0.46
2008-07-26;22.333;;59.333;5.29;
2008-07-27;24.15;2.0;65.75;4.804;0.828
2008-07-28;23.775;1.0;74.0;3.592;0.421
2008-07-29;23.725;;67.0;4.549;
2008-07-30;22.775;0.0;71.0;3.843;0.0
2008-07-31;26.033;2.1;53.667;7.007;0.807
2008-08-01;22.3;;55.5;5.781;
2008-08-02;18.225;;63.25;3.987;
2008-08-03;19.025;;63.25;4.136;
2008-08-04;20.0;;57.25;5.027;
2008-08-05;18.05;;69.0;3.336;
2008-08-06;20.25;6.0;63.25;4.369;2.963
2008-08-07;16.025;;65.0;3.42;
2008-08-08;18.3;;60.0;4.355;
2008-08-09;23.05;;60.0;5.362;
2008-08-10;21.5;;67.75;4.049;
2008-08-11;15.325;0.5;73.75;2.478;0.326
2008-08-12;19.2;;61.75;4.339;
2008-08-13;21.5;0.7;61.75;4.802;0.326
2008-08-14;17.967;;70.333;3.18;
2008-08-15;20.8;;63.25;4.476;
2008-08-16;16.6;13.0;85.5;1.457;7.831
2008-08-17;17.225;0.0;77.25;2.355;0.0
2008-08-18;16.95;;70.5;3.014;
2008-08-19;14.2;3.0;87.25;1.138;2.113
2008-08-20;13.175;1.3;80.75;1.629;0.987
2008-08-21;11.4;0.7;74.75;1.943;0.614
2008-08-22;12.475;;72.75;2.222;
2008-08-23;11.975;0.1;70.5;2.342;0.084
2008-08-24;12.3;;67.25;2.646;
2008-08-25;13.15;;62.5;3.169;
2008-08-26;12.075;;61.5;3.073;
2008-08-27;11.7;0.3;70.0;2.346;0.256
2008-08-28;17.9;9.0;67.0;3.526;5.028
2008-08-29;20.45;;64.0;4.318;
2008-08-30;20.55;;63.25;4.427;
2008-08-31;18.6;;68.5;3.477;
2008-09-01;18.625;;67.75;3.683;
2008-09-02;18.375;;61.25;4.374;
2008-09-03;16.0;3.0;78.0;2.219;1.875
2008-09-04;13.375;;67.75;2.85;
2008-09-05;13.825;;68.5;2.849;
2008-09-06;14.075;;64.25;3.275;
2008-09-07;9.975;2.0;82.25;1.303;
2008-09-08;12.25;;74.0;2.165;
2008-09-09;12.333;7.0;88.0;1.004;5.676
2008-09-10;10.775;3.0;91.75;0.634;2.784
2008-09-11;12.375;0.6;75.25;2.074;0.485
2008-09-12;10.2;;74.5;1.896;
2008-09-13;10.5;0.0;80.5;1.474;0.0
2008-09-14;10.825;;63.75;2.791;
2008-09-15;8.475;3.0;77.25;1.53;
2008-09-16;5.2;0.7;75.25;1.354;
2008-09-17;3.25;3.0;84.0;0.766;
2008-09-18;4.2;2.0;82.25;0.908;
2008-09-19;4.775;2.0;88.5;0.612;
2008-09-20;6.5;;78.333;1.29;
2008-09-21;7.7;;66.667;2.139;
2008-09-22;5.825;3.9;84.25;0.898;
2008-09-23;4.9;0.3;78.5;1.153;
2008-09-24;6.975;;69.25;1.886;
2008-09-25;7.425;;68.5;1.987;
2008-09-26;5.7;;70.75;1.654;
2008-09-27;8.5;;58.333;2.806;
2008-09-28;8.65;0.1;71.75;1.919;
2008-09-29;4.475;0.3;68.5;1.642;
2008-09-30;4.35;;50.75;2.546;
2008-10-01;5.8;;56.0;2.424;
2008-10-02;8.475;;51.25;3.172;
2008-10-03;8.925;;60.25;2.656;
2008-10-04;9.925;;62.0;2.691;
2008-10-05;9.9;;54.5;3.218;
2008-10-06;9.125;1.0;81.5;1.251;
2008-10-07;10.55;2.0;70.5;2.165;1.896
2008-10-08;4.45;;79.75;1.02;
2008-10-09;5.0;;80.25;1.032;
2008-10-10;7.95;;66.5;2.112;
2008-10-11;11.85;;55.0;3.548;
2008-10-12;7.875;2.0;69.75;1.898;
2008-10-13;2.75;0.3;69.25;1.375;
2008-10-14;5.175;0.0;70.25;1.573;
2008-10-15;7.225;12.0;91.25;0.528;
2008-10-16;6.225;6.0;89.25;0.609;
2008-10-17;5.875;9.0;90.75;0.512;
2008-10-18;2.625;0.6;86.0;0.62;
2008-10-19;-1.5;0.3;82.0;0.577;
2008-10-20;-4.25;;73.75;0.656;
2008-10-21;-0.275;;58.0;1.491;
2008-10-22;1.675;;57.75;1.746;
2008-10-23;3.35;;64.0;1.68;
2008-10-24;3.425;;68.75;1.466;
2008-10-25;2.75;;82.0;0.805;
2008-10-26;4.8;;78.75;1.096;
2008-10-27;5.575;;84.75;0.828;
2008-10-28;5.2;2.0;86.25;0.728;
2008-10-29;3.325;;81.75;0.85;
2008-10-30;3.425;0.6;82.0;0.844;
2008-10-31;3.725;;81.25;0.898;
2008-11-01;4.7;0.3;87.5;0.662;
2008-11-02;5.1;;76.0;1.305;
2008-11-03;5.775;0.0;80.0;1.137;
2008-11-04;4.875;6.0;96.5;0.187;
2008-11-05;5.8;0.0;81.0;1.081;
2008-11-06;2.45;0.7;68.25;1.435;
2008-11-07;4.2;0.9;86.0;0.716;
2008-11-08;2.25;2.5;88.25;0.524;
2008-11-09;-3.975;5.0;83.25;0.444;
2008-11-10;-5.0;0.8;82.5;0.42;
2008-11-11;-3.9;7.0;93.25;0.18;
2008-11-12;-6.775;0.7;85.0;0.299;
2008-11-13;-5.15;1.0;85.5;0.343;
2008-11-14;-4.325;6.2;92.75;0.186;
2008-11-15;-2.775;0.9;92.25;0.23;
2008-11-16;-1.45;0.0;91.75;0.275;
2008-11-17;-1.35;;86.0;0.47;
2008-11-18;-2.225;;81.25;0.584;
2008-11-19;-2.15;;89.0;0.345;
2008-11-20;-4.925;;83.5;0.399;
2008-11-21;-2.675;0.3;90.75;0.277;
2008-11-22;-2.725;0.0;81.5;0.551;
2008-11-23;-1.75;;81.0;0.616;
2008-11-24;0.175;;88.0;0.456;
2008-11-25;-0.025;;90.5;0.356;
2008-11-26;-1.75;0.0;83.25;0.543;
2008-11-27;-4.075;;97.75;0.059;
2008-11-28;-0.2;;76.0;0.886;
2008-11-29;-0.95;2.4;83.75;0.564;
2008-11-30;-2.025;1.2;90.0;0.317;
2008-12-01;-15.8;0.8;75.0;0.123;
2008-12-02;-24.975;;73.25;0.0;
2008-12-03;-20.95;;73.75;0.025;
2008-12-04;-17.475;;68.75;0.103;
2008-12-05;-9.775;3.0;83.75;0.219;
2008-12-06;-4.025;4.3;94.25;0.147;
2008-12-07;-1.025;5.0;94.0;0.2;
2008-12-08;0.25;6.0;94.5;0.204;
2008-12-09;-2.275;4.0;94.0;0.18;
2008-12-10;-0.325;1.0;93.0;0.247;
2008-12-11;-14.75;0.3;81.25;0.114;
2008-12-12;-19.7;;80.0;0.033;
2008-12-13;-12.733;;78.333;0.189;
2008-12-14;-9.65;2.0;85.0;0.205;
2008-12-15;-19.025;2.0;81.0;0.039;
2008-12-16;-21.525;0.0;78.5;0.015;
2008-12-17;-11.625;3.7;87.5;0.13;
2008-12-18;-18.15;;83.75;0.044;
2008-12-19;-14.925;0.0;86.25;0.081;
2008-12-20;-17.25;0.0;81.25;0.065;
2008-12-21;-19.25;0.4;85.0;0.029;
2008-12-22;-18.55;;83.75;0.039;
2008-12-23;-14.875;;81.25;0.112;
2008-12-24;-10.875;1.1;90.0;0.116;
2008-12-25;-13.825;0.8;86.25;0.1;
2008-12-26;-16.425;0.7;85.0;0.064;
2008-12-27;-18.425;0.3;80.0;0.05;
2008-12-28;-16.975;;73.75;0.098;
2008-12-29;-12.75;0.5;80.25;0.172;
2008-12-30;-7.875;1.2;87.0;0.221;
2008-12-31;-12.275;0.3;75.0;0.235;
2009-01-01;-10.825;4.0;76.25;0.277;
2009-01-02;-11.45;0.4;80.0;0.213;
2009-01-03;-13.125;;76.25;0.194;
2009-01-04;-11.6;;72.5;0.287;
2009-01-05;-11.5;;83.25;0.177;
2009-01-06;-13.1;0.7;78.0;0.181;
2009-01-07;-12.95;;66.25;0.285;
2009-01-08;-8.45;5.0;81.75;0.29;
2009-01-09;-17.075;;78.75;0.077;
2009-01-10;-14.55;;81.25;0.119;
2009-01-11;-8.175;0.8;79.5;0.337;
2009-01-12;-5.825;0.2;88.75;0.24;
2009-01-13;-7.0;0.4;96.75;0.061;
2009-01-14;-7.9;0.5;81.25;0.318;
2009-01-15;-13.475;6.0;81.25;0.145;
2009-01-16;-13.275;1.0;90.0;0.08;
2009-01-17;-17.8;0.5;83.75;0.049;
2009-01-18;-15.275;8.4;85.0;0.082;
2009-01-19;-15.925;3.2;83.75;0.078;
2009-01-20;-21.75;0.7;78.75;0.013;
2009-01-21;-29.675;;76.25;0.03;
2009-01-22;-27.55;;75.0;0.009;
2009-01-23;-22.325;;72.5;0.011;
2009-01-24;-22.2;;80.0;0.009;
2009-01-25;-12.075;4.5;80.75;0.187;
2009-01-26;-7.325;6.0;78.25;0.395;
2009-01-27;-20.175;;80.0;0.027;
2009-01-28;-23.75;0.0;85.0;0.001;
2009-01-29;-25.95;0.0;84.75;0.001;
2009-01-30;-27.375;;82.5;0.006;
2009-01-31;-27.45;;80.25;0.007;
2009-02-01;-26.375;0.6;81.0;0.002;
2009-02-02;-19.975;0.3;81.25;0.03;
2009-02-03;-20.1;0.5;90.0;0.015;
2009-02-04;-10.675;3.0;87.5;0.165;
2009-02-05;-9.575;3.0;90.5;0.145;
2009-02-06;-7.05;5.0;92.5;0.155;
2009-02-07;-8.6;6.0;74.75;0.437;
2009-02-08;-15.475;5.0;80.0;0.117;
2009-02-09;-24.85;2.0;72.5;0.0;
2009-02-10;-22.25;2.0;68.75;0.015;
2009-02-11;-28.025;;75.0;0.015;
2009-02-12;-31.025;0.5;76.5;0.055;
2009-02-13;-28.92;;71.0;0.029;
2009-02-14;-23.525;0.9;67.5;0.005;
2009-02-15;-24.125;;61.5;0.002;
2009-02-16;-25.175;;62.75;0.0;
2009-02-17;-25.15;;67.5;0.0;
2009-02-18;-19.075;2.2;76.0;0.054;
2009-02-19;-11.4;3.0;80.25;0.235;
2009-02-20;-17.45;0.2;72.5;0.101;
2009-02-21;-24.075;0.5;76.25;0.001;
2009-02-22;-19.0;1.1;83.75;0.038;
2009-02-23;-17.475;0.2;78.75;0.077;
2009-02-24;-19.2;;80.0;0.043;
2009-02-25;-17.9;;80.0;0.065;
2009-02-26;-17.3;;82.5;0.067;
2009-02-27;-15.375;;75.5;0.146;
2009-02-28;-13.7;;78.75;0.174;
2009-03-01;-13.2;;82.5;0.141;
2009-03-02;-12.625;;76.75;0.207;
2009-03-03;-11.2;;82.75;0.191;
2009-03-04;-9.05;;77.75;0.329;
2009-03-05;-7.15;;66.25;0.624;
2009-03-06;-9.0;;74.5;0.379;
2009-03-07;-8.75;0.0;76.25;0.364;
2009-03-08;-8.3;;53.25;0.757;
2009-03-09;-9.2;;56.75;0.627;
2009-03-10;-11.275;;72.5;0.301;
2009-03-11;-11.025;0.0;56.25;0.496;
