model,RMSE,MAE,MAPE,R2
ARIMA,1.806767150329322,1.5221766095232947,757.1081008472869,-2.2358260593566444
SARIMA,1.016134161200319,0.8396227552185322,112.5801696718381,-0.023488343032108
XGBoost,0.1749623547221954,0.1300021463531393,50.49802749193262,0.9696561958560032
LSTM,0.7430932357002513,0.5847455421537873,272.07648663515505,0.4526471137644032
