date,model,actual,predicted,residual
2011-01-01,ARIMA,-0.3838237605370712,1.2834784403835013,-1.6673022009205725
2011-02-01,ARIMA,-0.0392791629397593,1.225490836687374,-1.2647699996271333
2011-03-01,ARIMA,-1.2966789260680356,1.3656562080420154,-2.6623351341100507
2011-04-01,ARIMA,-0.4799684402081471,1.584186558627579,-2.064154998835726
2011-05-01,ARIMA,0.1091795676130551,1.5967358320341714,-1.4875562644211162
2011-06-01,ARIMA,0.1480542849045985,1.5118205311730575,-1.363766246268459
2011-07-01,ARIMA,-0.7308549310783726,1.4130980575400232,-2.1439529886183957
2011-08-01,ARIMA,-1.2123120541299746,1.4157410049439791,-2.6280530590739537
2011-09-01,ARIMA,1.3726423679935384,1.4637267061997712,-0.09108433820623274
2011-10-01,ARIMA,1.5160030641892452,1.5075220964880036,0.008480967701241626
2011-11-01,ARIMA,1.078586704312794,1.5016311378244147,-0.4230444335116208
2011-12-01,ARIMA,0.9706263438742826,1.4757406434425353,-0.5051142995682527
2012-01-01,ARIMA,0.0890680352615545,1.4567741107152656,-1.3677060754537111
2012-02-01,ARIMA,1.4489190463297748,1.4619635716819035,-0.013044525352128744
2012-03-01,ARIMA,0.5612227862329388,1.475458024586812,-0.9142352383538733
2012-04-01,ARIMA,0.866440983049311,1.4834114759865369,-0.6169704929372258
2012-05-01,ARIMA,0.854839494174487,1.4797542567028348,-0.6249147625283478
2012-06-01,ARIMA,0.7748534093423389,1.4729166045861004,-0.6980631952437615
2012-07-01,ARIMA,0.217167817018862,1.4697283107162742,-1.2525604936974122
2012-08-01,ARIMA,-1.4137293930652943,1.4720426619115412,-2.8857720549768358
2012-09-01,ARIMA,-0.8671099996212411,1.4754223252113379,-2.342532324832579
2012-10-01,ARIMA,-0.4534205290877376,1.4766160068653598,-1.9300365359530973
2012-11-01,ARIMA,-1.627874672524198,1.475244919967549,-3.1031195924917467
2012-12-01,ARIMA,0.0371663162033971,1.4736129069405153,-1.4364465907371182
2013-01-01,ARIMA,0.7376340912735829,1.4732163023589697,-0.7355822110853868
2013-02-01,ARIMA,1.5397569854220974,1.4739919637784715,0.06576502164362585
2013-03-01,ARIMA,1.2019874975561942,1.4747620028408694,-0.2727745052846753
2013-04-01,ARIMA,0.8711966253996639,1.474861829658454,-0.60366520425879
