station_id,country,region,Name2,Name,lat,lon,height,year,Tem1,Tem2,Tem3,Tem4,Tem5,Tem6,Tem7,Tem8,Tem9,Tem10,Tem11,Tem12,Os1,Os2,Os3,Os4,Os5,Os6,Os7,Os8,Os9,Os10,Os11,Os12
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1937,,,,,,,,,,,,,56.0,68.0,13.0,59.0,15.0,0.8,16.0,34.0,10.0,91.0,122.0,99.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1938,,,,,,,,,,,,,62.0,67.0,38.0,45.0,68.0,5.0,7.0,0.0,43.0,59.0,22.0,96.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1939,,,,,,,,,,,,,66.0,17.0,132.0,1.0,27.0,54.0,5.0,11.0,31.0,40.0,120.0,208.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1940,,,,,,,,,,,,,71.0,65.0,72.0,166.0,39.0,100.0,33.0,,8.0,55.0,62.0,238.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1941,,,,,,,,,,,,,120.0,128.0,17.0,44.0,40.0,16.0,4.0,,9.0,83.0,28.0,68.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1942,,,,,,,,,,,,,157.0,95.0,30.0,30.0,46.0,6.0,23.0,19.0,18.0,60.0,136.0,36.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1943,,,,,,,,,,,,,156.0,20.0,11.0,73.0,102.0,19.0,0.6,,43.0,15.0,89.0,98.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1944,,,,,,,,,,,,,60.0,215.0,204.0,24.0,50.0,6.0,14.0,15.0,18.0,107.0,69.0,26.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1945,,,,,,,,,,,,,216.0,34.0,40.0,52.0,2.0,0.0,0.2,,1.0,32.0,37.0,131.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1946,,,,,,,,,,,,,37.0,102.0,89.0,16.0,30.0,6.0,0.3,,1.0,58.0,93.0,104.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1947,,,,,,,,,,,,,80.0,73.0,50.0,13.0,6.0,6.0,5.0,42.0,5.0,80.0,82.0,148.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1948,,,,,,,,,,,,,88.0,107.0,56.0,51.0,54.0,63.0,,,0.0,17.0,9.0,14.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1949,,,,,,,,,,,,,39.0,14.0,118.0,59.0,26.0,48.0,49.0,10.0,28.0,,47.0,82.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1950,1.4,5.0,7.8,15.6,17.2,22.1,24.9,23.7,22.1,13.5,9.0,8.7,112.0,39.0,35.0,36.0,65.0,13.0,2.0,8.0,21.0,21.0,65.0,107.0
17150,Турция,Турция,Balikesir,LTBF,39.6167,27.9167,101,1951,6.7,8.1,10.5,13.7,19.0,21.2,24.3,25.3,21.8,13.5,11.8,5.1,69.0,80.0,70.0,23.0,69.0,3.0,28.0,4.0,5.0,55.0,45.0,62.0
