station_id,country,region,Name,Name2,lat,lon,elevation,year,Tem1,Tem2,Tem3,Tem4,Tem5,Tem6,Tem7,Tem8,Tem9,Tem10,Tem11,Tem12,Os1,Os2,Os3,Os4,Os5,Os6,Os7,Os8,Os9,Os10,Os11,Os12
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1965,5.3,2.9,8.3,11.5,16.7,22.4,24.4,22.4,21.2,13.6,11.4,9.0,43,200,33,148.0,48.0,3.0,0.0,13.0,0.0,16.0,111.0,89.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1966,6.5,9.6,8.6,13.9,16.6,20.4,24.9,25.2,20.0,18.8,13.7,8.2,137,13,139,120.0,55.0,24.0,0.0,20.0,36.0,12.0,53.0,115.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1967,3.3,3.2,8.1,13.1,17.4,20.3,24.3,24.6,20.7,16.2,10.9,7.8,161,21,46,69.0,18.0,48.0,0.0,0.3,59.0,66.0,16.0,97.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1968,3.8,6.3,7.4,13.9,20.4,21.7,24.3,22.7,19.9,14.3,10.7,7.9,264,63,56,17.0,60.0,24.0,,49.0,67.0,14.0,43.0,59.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1969,3.6,8.2,7.6,10.9,19.5,23.3,22.0,24.1,22.0,15.7,12.5,9.5,120,70,56,46.0,10.0,64.0,53.0,4.0,0.9,2.0,5.0,150.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1970,7.7,9.5,10.2,15.5,16.8,21.9,24.7,24.3,20.0,14.4,10.8,6.4,72,156,59,56.0,44.0,10.0,6.0,4.0,19.0,35.0,72.0,65.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1971,8.6,6.1,8.8,12.0,18.5,21.7,23.0,24.3,20.5,13.7,10.8,5.2,76,70,93,20.0,30.0,13.0,11.0,3.0,16.0,20.0,94.0,99.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1972,2.8,5.2,8.6,15.9,17.6,22.5,24.8,24.0,21.3,14.5,10.7,4.6,35,27,22,76.0,66.0,29.0,11.0,52.0,52.0,88.0,36.0,0.2
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1973,4.0,8.2,7.0,12.2,18.0,20.4,24.8,22.6,21.1,16.3,8.2,6.9,29,123,49,100.0,16.0,34.0,7.0,27.0,16.0,66.0,132.0,111.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1974,1.5,6.0,8.2,11.3,16.9,21.8,23.7,23.5,20.6,18.9,10.5,5.2,36,66,53,52.0,86.0,5.0,8.0,5.0,18.0,4.0,88.0,81.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1975,3.6,4.0,10.4,14.3,17.4,21.8,24.7,23.7,21.0,15.7,9.4,3.2,119,37,65,60.0,79.0,25.0,0.0,0.0,11.0,15.0,88.0,29.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1976,3.4,2.8,6.8,12.6,16.3,20.3,23.5,20.8,19.1,15.9,11.2,5.6,42,35,12,193.0,41.0,18.0,7.0,62.0,5.0,98.0,19.0,71.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1977,5.2,9.2,8.4,12.1,17.5,22.1,24.0,25.0,19.9,12.8,12.0,5.5,40,23,45,41.0,5.0,2.0,4.0,0.0,155.0,16.0,111.0,84.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1978,4.6,8.4,9.7,12.4,17.7,22.0,23.7,22.0,18.4,15.1,8.6,7.6,201,135,330,71.0,59.0,0.3,0.0,50.0,120.0,56.0,73.0,15.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1979,6.2,7.7,10.4,12.2,17.1,22.7,23.6,24.1,20.4,15.8,10.7,7.0,110,57,26,55.0,42.0,20.0,4.0,9.0,9.0,28.0,110.0,74.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1980,3.3,5.1,7.1,11.7,16.7,21.0,23.7,23.8,18.5,17.2,11.9,6.8,148,27,308,65.0,59.0,73.0,28.0,0.0,7.0,9.0,126.0,111.0
17150,TR,BAL,LTBF,Balikesir,39.6167,27.9167,101,1981,4.3,5.1,10.0,12.6,15.5,22.6,23.1,23.4,20.5,18.3,8.3,10.5,146,28,51,5.0,75.0,0.0,11.0,28.0,16.0,32.0,98.0,300.0
