station_id,date,SPI3,SPEI3,SPI6,SPEI6,SPI9,SPEI9,SPI12,SPEI12,SSFI3,SGI3
17150,1950-01-01,,,,,,,,,,
17150,1950-02-01,,,,,,,,,,
17150,1950-03-01,-0.17118507687219875,-0.11364766169679219,,,,,,,0.2774609302326001,-2.4794668853016644
17150,1950-04-01,-1.1147696386625259,-1.2769301964088218,,,,,,,-0.4571507591674039,-2.4794668853016644
17150,1950-05-01,-0.209854538184563,-0.2853305210570469,,,,,,,-0.5977549303630881,-2.4794668853016644
17150,1950-06-01,0.1000472923278286,0.046618017077257615,-0.20807974635122675,-0.19381023313794085,,,,,-0.5584297774078435,-2.4794668853016644
17150,1950-07-01,0.2817315479206255,0.26205068621405736,-0.8057195303989242,-0.9609103229789793,,,,,0.021484911430271415,-2.4794668853016644
17150,1950-08-01,-0.3426138072776161,-0.33508410994026583,-0.48457308775238356,-0.5982257227325343,,,,,-0.014133183492573196,-2.4794668853016644
17150,1950-09-01,0.16780294108304666,-0.015966360047438247,-0.02484892421153334,-0.1588682595050283,-0.28264198056276146,-0.29467691689977005,,,-0.0199749600191521,-2.4794668853016644
17150,1950-10-01,-0.14497635029051326,0.02974685128006757,-0.045027680076555755,0.008043103521969193,-0.8713936837145233,-0.9757850783665866,,,-0.3418827578995481,-2.4794668853016644
17150,1950-11-01,-0.47217913706744263,-0.40963594713316537,-0.7386008012571825,-0.6805682128632664,-0.7368295022059024,-0.7821240402835199,,,-0.3675192730734373,-2.4794668853016644
17150,1950-12-01,0.041241897082999024,0.1279673091880358,-0.12570311519486965,-0.08661159831644268,-0.10992976085654427,-0.13440445403462822,-0.23694801206960922,-0.20080872278853093,-0.2742021097001631,-2.4794668853016644
17150,1951-01-01,-0.015147686972098092,-0.08309256221010372,-0.19354509723984012,-0.21470194676798351,-0.10540899358550437,-0.11987839975761085,-0.613470589831798,-0.7746334746183966,-0.14096742876619175,-2.474739649219484
17150,1951-02-01,0.2812528954682091,0.21185978138882403,-0.05660685956697856,-0.1058275257771191,-0.256517747269561,-0.31138755756414194,-0.2903678024987558,-0.3860160581050534,0.09348079377224781,-2.474739649219484
17150,1951-03-01,0.19176672262639313,0.029238690972475626,0.028181814174888603,-0.047533380912758966,-0.045202264783627384,-0.13771836573136828,-0.04116341924313417,-0.19281281094824304,0.1434603758245155,-2.05921460987167
17150,1951-04-01,-0.0088900351676206,-0.19955416801516213,-0.07966765156700097,-0.2517694141771847,-0.21387795505787793,-0.35504845599127555,-0.1658743994737726,-0.299441931146672,0.17636144680943736,-2.05921460987167
17150,1951-05-01,0.23689550404380683,0.16100141966911272,0.294341453025102,0.16415082379871,0.020218012494273074,-0.08575038790739763,-0.14175110343128566,-0.2568542284281424,0.16316051118935404,-2.05921460987167
17150,1951-06-01,-0.3130177025892309,-0.37235560468415574,-0.06779303115617277,-0.26972710566251146,-0.15369496904741803,-0.26642081214181135,-0.19651009657557458,-0.31650600053964034,0.012473678940895508,-2.05921460987167
17150,1951-07-01,0.7108478277420974,0.702266530040634,0.30175737656477786,0.16091176024837084,0.12347636874761064,0.027996436696808413,0.004745882974938172,-0.05707282570225412,0.24984991854446867,-2.05921460987167
17150,1951-08-01,0.08483683005998852,0.10693543690534782,0.11321302547469395,0.02680767021032074,0.21596383692835652,0.09152676204355029,-0.022194768793974497,-0.13389481327216246,0.11645014238915123,-2.05921460987167
17150,1951-09-01,0.3224882098130862,0.15304735738519715,-0.24702000695920553,-0.39515547981664406,-0.09296476706697698,-0.3139768209511934,-0.16532125830600425,-0.2960133466048433,0.4466826259787041,-2.05921460987167
17150,1951-10-01,0.15763398139143003,0.28299052519362006,0.4541614983392601,0.5118868556260611,0.2284829008434919,0.15080696059885107,0.11009872014291491,0.020403248009879985,0.1219519315314371,-2.05921460987167
17150,1951-11-01,-0.5102318966365035,-0.5544187034570393,-0.5508020368960824,-0.5843560760450288,-0.30202494904065297,-0.4051196361362445,0.003637232429968063,-0.1717814698863079,-0.16614527107462485,-2.05921460987167
17150,1951-12-01,-0.4215956172177565,-0.370239323560786,-0.4680329822294798,-0.4715539418564799,-0.6384255084046302,-0.6918731330994673,-0.33203763794023944,-0.5237263457444407,-0.42343868455527117,-2.05921460987167
17150,1952-01-01,-0.10944993243857525,-0.18172301828866336,-0.13004728613074487,-0.16109537468363647,0.14931216173027445,0.14441191751030905,0.1779382420957444,0.09717027445464478,-0.38396960320625345,-2.053748910631823
17150,1952-02-01,1.5162389219970893,1.5527559575207326,1.0042177042780596,1.0709081078173532,0.9143113135924156,0.9950054659671689,0.8386876248323507,0.8247971442757145,0.46814073229642694,-2.053748910631823
17150,1952-03-01,1.3020595115867193,1.3427087163261215,0.7813694711392114,0.8659456009256723,0.7188965725246205,0.7984102147814667,0.5424464779621688,0.5309913308520998,1.0733359461417615,-1.8398553707779415
17150,1952-04-01,0.6821721842964487,0.7231575030662721,0.29275539109608595,0.29249248832217434,0.2426307265057309,0.2504517567822503,0.4158240385560499,0.415871947812493,1.3441394923568235,-1.8398553707779415
17150,1952-05-01,-1.340189272333519,-1.4574945051285493,0.6961005394230219,0.7925791110724488,0.37350845375910185,0.4537564219697996,0.29647411994399564,0.36951443142108426,0.6782903658528485,-1.8398553707779415
17150,1952-06-01,-0.8341794928971893,-0.7240328498298029,0.8750332740522702,0.9848764549969146,0.4326076235982304,0.556783893903194,0.40118733603423257,0.5014203897326839,-0.31389171179961634,-1.8398553707779415
17150,1952-07-01,0.3013682449346746,0.4911022480982921,0.6644438954098213,0.7793727397104883,0.32178982490045976,0.4331281653385641,0.2924284419270035,0.4085550659507565,-0.8839893711481929,-1.8398553707779415
17150,1952-08-01,0.07685372578611245,0.17052067947804445,-1.2248285854785321,-1.2482994412435966,0.6122838155499908,0.7529135471448254,0.3249088785733637,0.42403804780150256,-0.29700903774773285,-1.8398553707779415
17150,1952-09-01,0.16086218648485484,-0.29209061747324383,-0.7658444941252189,-0.8821185531396076,0.7596038976374455,0.8433181847372392,0.3481644071167105,0.41302076257167575,0.14525002112044486,-1.8398553707779415
17150,1952-10-01,1.159737803408478,1.001270592788782,1.0301119319961907,1.0372918990111348,1.0605105944470534,1.0882832023350095,0.7153438156974933,0.7543404469954096,0.7475234865254076,-1.8398553707779415
