date,station_id,SPEI3,SPEI6,SPEI9,SPEI12
1950-01-01,17115,,,,
1950-02-01,17115,,,,
1950-03-01,17115,-0.012604616004200235,,,
1950-04-01,17115,-0.7291054438301903,,,
1950-05-01,17115,-0.8465041917712063,,,
1950-06-01,17115,-1.9272513367333381,-0.7682848839902848,,
1950-07-01,17115,-1.6751029159887183,-1.5518175901350655,,
1950-08-01,17115,-0.9747273027028496,-1.419910917147914,,
1950-09-01,17115,1.4829352073920625,0.40062798985253134,0.21487745646595705,
1950-10-01,17115,1.1759588537023258,0.670301411024202,0.03135493769299456,
1950-11-01,17115,0.6804315482438164,0.3070432909340842,-0.1340999215454421,
1950-12-01,17115,-0.6346140049268236,0.23653433163224286,-0.4180258193082348,-0.3626476423550973
1951-01-01,17115,-0.696815971934304,0.13683043704963083,-0.31217337462913547,-0.5937157003256225
1951-02-01,17115,-0.5480886505096456,0.07854981412708675,-0.2494115446402671,-0.5526231911425721
1951-03-01,17115,0.058297876797229475,-0.4870126972717895,0.17526647930766273,-0.4047442585872479
1951-04-01,17115,0.23670177725228525,-0.45047582860498786,0.17186028753653088,-0.2338539554525242
1951-05-01,17115,0.22953130028801633,-0.3281240192321792,0.13085659434072172,-0.15954416332860055
1951-06-01,17115,-0.5442765367618887,-0.20637099495982472,-0.7246432480552825,-0.015408090592998138
1951-07-01,17115,-0.3032707539743938,-0.06387508820592229,-0.6461783889282521,0.02288863409370951
1951-08-01,17115,0.6933744811478506,0.5496695160393833,-0.17348497274496283,0.2103662690977047
1951-09-01,17115,0.5437714819179659,-0.32836050609060596,-0.16047348575598572,-0.6849819653046721
1951-10-01,17115,0.5613731986870766,0.2410475136281642,0.24624308238151785,-0.48916874509233566
1951-11-01,17115,0.020826157631677788,0.2213445422396186,0.2280565410866549,-0.24215764850463692
1951-12-01,17115,-0.1331658231960128,-0.08219212843778474,-0.3925278318978564,-0.301605647207317
1952-01-01,17115,-0.36996186366350375,-0.1793268146677366,-0.3714292293999575,-0.23975862595616168
1952-02-01,17115,-0.21549422393156042,-0.2690012067702215,-0.12633815896702782,-0.08477637349731487
1952-03-01,17115,0.033899902034906934,-0.14201263542236764,-0.11011957063609742,-0.398404465479882
1952-04-01,17115,-0.6123856635888819,-0.6308879317717438,-0.4467989386134178,-0.6293770450281786
1952-05-01,17115,-1.6506511167332365,-1.0656509057076378,-0.9290650036634072,-0.7075855980845814
1952-06-01,17115,-0.29514543374275587,-0.12125245700219088,-0.29816997785703314,-0.23253174919765798
1952-07-01,17115,0.5739854171577333,-0.28261570792203206,-0.5002304887910094,-0.3448895411222153
1952-08-01,17115,0.8426611243116018,-0.9346014010312831,-0.7287734356619556,-0.6733650792097732
1952-09-01,17115,-0.5547433061432001,-0.9648787320086294,-0.5340690341574269,-0.6071246347350208
1952-10-01,17115,0.5577324145747837,0.6488760441643318,0.08321358247120572,-0.37766607719661616
1952-11-01,17115,0.5509146493423475,0.688132258765646,-0.0075994442376263495,-0.24583966704960675
1952-12-01,17115,0.6493039180709499,0.2776959333856094,0.06610240295334173,0.054257514915369454
1953-01-01,17115,0.45731195065617336,0.4851183092097516,0.5393815853946494,0.27717594744511337
1953-02-01,17115,0.8656074309443452,0.8603422352212302,0.9418342866152231,0.41876086164182375
1953-03-01,17115,1.1203062022082655,1.0543614872364726,0.7770298666357824,0.6074750565438753
1953-04-01,17115,0.948222601458141,0.7108708856598661,0.7385091486327975,0.7893556556018521
1953-05-01,17115,0.5760561063942047,0.9243007597193301,0.9237464339901936,0.9903380981894335
1953-06-01,17115,1.0924106804730296,1.4168163634295843,1.209534256649965,0.9894665760312533
