station_id,country,region,Name,Name2,lat,lon,elevation,year,month,Tem,Os,date
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1954,5,17.1,47.0,1954-05-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1954,6,22.9,4.0,1954-06-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1954,7,24.6,,1954-07-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1954,8,24.9,0.3,1954-08-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1954,9,22.6,29.0,1954-09-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1954,10,16.4,40.0,1954-10-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1954,11,11.9,68.0,1954-11-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1954,12,7.6,104.0,1954-12-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1955,1,9.0,79.0,1955-01-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1955,2,11.2,106.0,1955-02-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1955,3,8.9,48.0,1955-03-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1955,4,9.8,72.0,1955-04-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1955,5,16.6,2.0,1955-05-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1955,6,20.4,3.0,1955-06-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1955,7,24.2,20.0,1955-07-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1955,8,23.0,36.0,1955-08-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1955,9,21.3,16.0,1955-09-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1955,10,18.9,101.0,1955-10-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1955,11,11.0,359.0,1955-11-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1955,12,8.5,60.0,1955-12-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1956,1,6.8,120.0,1956-01-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1956,2,4.6,142.0,1956-02-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1956,3,4.6,63.0,1956-03-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1956,4,12.8,26.0,1956-04-01
17115,TR,BAL,LTBG,Bandirma,40.3167,27.9667,51,1956,5,16.2,28.0,1956-05-01
